target,slug,county_code,county_name,district_code,school_code,charter_code,ada,high_needs,y201415,y201516,y202021,floor_targ_caveat
ABC Unified,abc-unified,19,Los Angeles,64212,0000000,,20463,0.55,7477,8230,9856,FALSE
Abernathy Collegiate Charter,abernathy-collegiate-charter,15,Kern,63826,0127258,1497,14,0.41,6876,7551,9037,FALSE
Abraxis Charter,abraxis-charter,49,Sonoma,70920,0108811,0696,49,0.91,8781,10135,12594,FALSE
Acacia Elementary Charter,acacia-elementary-charter,39,San Joaquin,68627,0128553,1518,272,0.93,8141,9271,11408,FALSE
Acacia Middle Charter,acacia-middle-charter,39,San Joaquin,68627,0128546,1519,78,0.93,7966,8974,10954,FALSE
Academia Avance Charter,academia-avance-charter,19,Los Angeles,10199,0109926,0738,467,0.89,8164,9543,11967,FALSE
Academia Moderna,academia-moderna,19,Los Angeles,64733,0120097,1101,449,0.99,7677,8969,11244,FALSE
Academic/Vocational Charter Institute,academic-vocational-charter-institute,44,Santa Cruz,69799,4430245,0265,55,0.93,8817,10217,12732,FALSE
Academies of the Antelope Valley,academies-of-the-antelope-valley,19,Los Angeles,64246,0126003,1415,231,0.48,7017,7716,9243,FALSE
Academy for Academic Excellence,academy-for-academic-excellence,36,San Bernardino,75077,3631207,0127,1330,0.22,6904,7584,9079,FALSE
Academy of Arts and Sciences Fresno,academy-of-arts-and-sciences-fresno,10,Fresno,62331,0130880,1631,185,0.50,7414,8073,9596,FALSE
Academy of Arts and Sciences Los Angeles 9-12,academy-of-arts-and-sciences-los-angeles-9-12,19,Los Angeles,75309,0130781,1651,244,0.42,8717,9138,10526,FALSE
Academy of Arts and Sciences: Del Mar Elementary (K-5),academy-of-arts-and-sciences-del-mar-elementary-k-5,37,San Diego,68213,0127068,1452,183,0.46,6717,7533,9164,FALSE
Academy of Arts and Sciences: Del Mar Middle & High (6-12),academy-of-arts-and-sciences-del-mar-middle-and-high-6-12,37,San Diego,68213,0127084,1454,238,0.36,7318,8097,9747,FALSE
Academy of Arts and Sciences: El Cajon Elementary (K-5),academy-of-arts-and-sciences-el-cajon-elementary-k-5,37,San Diego,68213,0127035,1451,499,0.20,7277,7610,8746,FALSE
Academy of Arts and Sciences: El Cajon Middle and High (6-12),academy-of-arts-and-sciences-el-cajon-middle-and-high-6-12,37,San Diego,68213,0127050,1453,539,0.34,7428,8138,9711,FALSE
Academy of Arts and Sciences: Oxnard & Ventura,academy-of-arts-and-sciences-oxnard-and-ventura,56,Ventura,72504,0127076,1456,603,0.36,7094,7755,9248,FALSE
Academy of Arts and Sciences: Sonoma,academy-of-arts-and-sciences-sonoma,49,Sonoma,73882,0127092,1457,180,0.33,6832,7673,9344,FALSE
Academy of Arts and Sciences: Thousand Oaks & Simi Valley,academy-of-arts-and-sciences-thousand-oaks-and-simi-valley,56,Ventura,72504,0127043,1455,480,0.51,7192,8106,9897,FALSE
Academy of Careers and Exploration,academy-of-careers-and-exploration,36,San Bernardino,67736,0116723,0968,239,0.53,7882,8769,10601,FALSE
Academy of Personalized Learning,academy-of-personalized-learning,45,Shasta,75267,0120170,1113,456,0.64,7469,8527,10511,FALSE
Academy of Science and Engineering,academy-of-science-and-engineering,19,Los Angeles,64733,0126185,1411,189,0.95,8885,10350,12948,FALSE
Acalanes Union High,acalanes-union-high,07,Contra Costa,61630,0000000,,5187,0.06,7563,8254,9830,FALSE
Accelerated,accelerated,19,Los Angeles,64733,6112536,0045,712,0.99,7889,9015,11122,FALSE
Accelerated Achievement Academy,accelerated-achievement-academy,23,Mendocino,65615,2330454,0439,137,0.80,7899,9089,11269,FALSE
Accelerated Elementary Charter,accelerated-elementary-charter,19,Los Angeles,64733,0100743,0539,283,0.99,7784,9046,11297,FALSE
ACE Alum Rock,ace-alum-rock,43,Santa Clara,69369,0129254,1544,66,1.00,8476,9248,11011,FALSE
ACE Charter High,ace-charter-high,43,Santa Clara,69427,0125617,1387,194,1.00,9065,10600,13296,FALSE
ACE Empower Academy,ace-empower-academy,43,Santa Clara,10439,0116814,0972,378,0.96,7617,8829,11005,FALSE
ACE Franklin McKinley,ace-franklin-mckinley,43,Santa Clara,69450,0129247,1545,143,0.99,8437,9161,10865,FALSE
Achieve Academy,achieve-academy,01,Alameda,61259,0111476,0780,718,0.98,7650,8870,11059,FALSE
Achieve Charter School of Paradise Inc.,achieve-charter-school-of-paradise-inc,04,Butte,61531,0110338,0751,211,0.43,6862,7514,8972,FALSE
Ackerman Elementary,ackerman-elementary,31,Placer,66761,0000000,,531,0.27,6638,7331,8810,FALSE
Acton-Agua Dulce Unified,acton-agua-dulce-unified,19,Los Angeles,75309,0000000,,1218,0.46,7539,8346,10006,FALSE
Adelante Charter,adelante-charter,42,Santa Barbara,76786,6118202,0326,244,0.78,7145,7991,9700,FALSE
Adelanto Elementary,adelanto-elementary,36,San Bernardino,67587,0000000,,7946,0.89,7370,8835,11268,FALSE
Alain Leroy Locke College Prep Academy,alain-leroy-locke-college-prep-academy,19,Los Angeles,64733,0118588,1050,1678,0.96,8899,10365,12964,FALSE
Alameda Community Learning Center,alameda-community-learning-center,01,Alameda,61119,0130609,0352,359,0.23,6993,7723,9284,FALSE
Alameda Unified,alameda-unified,01,Alameda,61119,0000000,,9094,0.39,7257,7989,9570,FALSE
Albany City Unified,albany-city-unified,01,Alameda,61127,0000000,,3760,0.33,6936,7720,9337,FALSE
Albert Einstein Academy Charter Middle,albert-einstein-academy-charter-middle,37,San Diego,68338,0111898,0773,461,0.55,6709,7434,8959,FALSE
Albert Einstein Academy Elementary,albert-einstein-academy-elementary,19,Los Angeles,75309,0128603,1595,925,0.11,6920,7355,8571,FALSE
"Albert Einstein Academy for Letters, Arts and Sciences",albert-einstein-academy-for-letters-arts-and-sciences,19,Los Angeles,65136,0121731,1199,429,0.06,7105,7762,9252,FALSE
"Albert Einstein Academy of Letters, Arts & Sciences - Agua Dulce Partnership",albert-einstein-academy-of-letters-arts-and-sciences-agua-dulce-partnership,19,Los Angeles,75309,0131201,1694,179,0.34,7202,7687,8990,FALSE
Alder Grove Charter,alder-grove-charter,12,Humboldt,63032,0111203,0760,355,0.66,7336,8444,10473,FALSE
Alfred B. Nobel Charter Middle,alfred-b-nobel-charter-middle,19,Los Angeles,64733,6061543,1480,2474,0.39,6564,7254,8725,FALSE
Alhambra Unified,alhambra-unified,19,Los Angeles,75713,0000000,,17357,0.73,8131,9127,11099,FALSE
Alianza Charter,alianza-charter,44,Santa Cruz,69799,6049829,0164,642,0.87,7877,8866,10814,FALSE
Alisal Union,alisal-union-,27,Monterey,65961,0000000,,8629,0.91,7649,9035,11410,FALSE
All Tribes Charter,all-tribes-charter,37,San Diego,75416,6119275,1057,37,1.00,8407,9890,12458,FALSE
All Tribes Elementary Charter,all-tribes-elementary-charter,37,San Diego,75416,0122796,1262,27,0.96,7513,8899,11263,FALSE
Allensworth Elementary,allensworth-elementary,54,Tulare,71795,0000000,,78,1.00,10078,11348,13726,FALSE
Alliance Alice M. Baxter College-Ready High,alliance-alice-m-baxter-college-ready-high,19,Los Angeles,64733,0127217,1460,88,0.89,9339,10514,12827,FALSE
Alliance Cindy and Bill Simon Technology Academy High,alliance-cindy-and-bill-simon-technology-academy-high,19,Los Angeles,64733,0121285,1161,493,0.99,8751,10321,13025,FALSE
Alliance College-Ready Academy High No. 16,alliance-college-ready-academy-high-no-16,19,Los Angeles,64733,0123141,1164,284,0.96,8724,10277,12959,FALSE
Alliance College-Ready Academy High No. 5,alliance-college-ready-academy-high-no-5,19,Los Angeles,64733,0111492,0789,649,0.98,8712,10291,13001,FALSE
Alliance College-Ready Middle Academy No. 12,alliance-college-ready-middle-academy-no-12,19,Los Angeles,64733,0128058,1533,269,1.00,8564,9198,10813,FALSE
Alliance College-Ready Middle Academy No. 4,alliance-college-ready-middle-academy-no-4,19,Los Angeles,64733,0120030,1096,459,0.99,7487,8695,10853,FALSE
Alliance College-Ready Middle Academy No. 5,alliance-college-ready-middle-academy-no-5,19,Los Angeles,64733,0120048,1097,363,0.95,7432,8654,10823,FALSE
Alliance College-Ready Middle Academy No. 7,alliance-college-ready-middle-academy-no-7,19,Los Angeles,64733,0121277,1160,426,0.97,7393,8629,10809,FALSE
Alliance College-Ready Middle Academy No. 8,alliance-college-ready-middle-academy-no-8,19,Los Angeles,64733,0128033,1531,129,0.96,8735,9178,10593,FALSE
Alliance College-Ready Middle Academy No. 9,alliance-college-ready-middle-academy-no-9,19,Los Angeles,64733,0128041,1532,136,0.97,8739,9188,10608,FALSE
Alliance Collins Family College-Ready High,alliance-collins-family-college-ready-high,19,Los Angeles,64733,0108936,0718,600,0.94,8755,10274,12919,FALSE
Alliance Dr. Olga Mohan High,alliance-dr-olga-mohan-high,19,Los Angeles,64733,0111500,0790,440,0.97,8785,10322,12992,FALSE
Alliance Environmental Science and Technology High,alliance-environmental-science-and-technology-high,19,Los Angeles,64733,0117606,0929,520,0.88,8610,10154,12813,FALSE
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,alliance-gertz-ressler-richard-merkin-6-12-complex,19,Los Angeles,64733,0106864,0645,957,0.97,8388,9651,11966,FALSE
Alliance Health Services Academy High,alliance-health-services-academy-high,19,Los Angeles,64733,0117598,0927,448,0.92,8699,10228,12880,FALSE
Alliance Jack H. Skirball Middle,alliance-jack-h-skirball-middle,19,Los Angeles,64733,0111518,0779,436,0.97,7398,8634,10814,FALSE
Alliance Judy Ivie Burton Technology Academy High,alliance-judy-ivie-burton-technology-academy-high,19,Los Angeles,64733,0108894,0714,587,0.98,8882,10375,13003,FALSE
Alliance Marc & Eva Stern Math and Science,alliance-marc-and-eva-stern-math-and-science,19,Los Angeles,64733,0111658,0788,587,0.90,8641,10189,12856,FALSE
Alliance Margaret M. Bloomfield Technology Academy High,alliance-margaret-m-bloomfield-technology-academy-high,19,Los Angeles,64733,0124941,1356,104,0.93,9362,10565,12912,FALSE
Alliance Media Arts and Entertainment Design High,alliance-media-arts-and-entertainment-design-high,19,Los Angeles,64733,0116509,0928,325,0.96,8767,10301,12965,FALSE
Alliance Ouchi-O' Donovan 6-12 Complex,alliance-ouchi-o-donovan-6-12-complex,19,Los Angeles,64733,0111641,0784,999,0.97,8383,9673,12018,FALSE
Alliance Renee and Meyer Luskin Academy High,alliance-renee-and-meyer-luskin-academy-high,19,Los Angeles,64733,0124891,1343,517,0.96,8612,10230,12974,FALSE
Alliance Susan and Eric Smidt Technology High,alliance-susan-and-eric-smidt-technology-high,19,Los Angeles,64733,0123133,1163,329,0.98,8887,10374,12997,FALSE
Alliance Tennenbaum Family Technology High,alliance-tennenbaum-family-technology-high,19,Los Angeles,64733,0121293,1162,375,0.82,8610,10068,12629,FALSE
Almond Acres Charter Academy,almond-acres-charter-academy,40,San Luis Obispo,68825,0125807,1395,233,0.26,6558,7286,8801,FALSE
Alpaugh Unified,alpaugh-unified,54,Tulare,71803,0000000,,307,0.97,9873,11155,13639,FALSE
Alpha Charter,alpha-charter,34,Sacramento,67322,0127860,1527,36,0.58,7593,8728,10813,FALSE
Alpha: Blanca Alvarado Middle,alpha-blanca-alvarado-middle,43,Santa Clara,69369,0125526,1375,446,0.95,7583,8805,10989,FALSE
Alpha: Jose Hernandez Middle,alpha-jose-hernandez-middle,43,Santa Clara,10439,0129213,1618,159,0.97,7951,8937,10890,FALSE
Alpine Union Elementary,alpine-union-elementary,37,San Diego,67967,0000000,,1702,0.33,6886,7604,9112,FALSE
Alta Loma Elementary,alta-loma-elementary,36,San Bernardino,67595,0000000,,5856,0.37,6715,7483,9042,FALSE
Alta Vista Community Charter,alta-vista-community-charter,31,Placer,66787,0126664,1429,115,0.49,6797,7620,9266,FALSE
Alta Vista Elementary,alta-vista-elementary,54,Tulare,71811,0000000,,561,0.96,7913,9272,11645,FALSE
Alta Vista Public,alta-vista-public,36,San Bernardino,67587,0120592,1147,1972,0.89,8714,10278,12970,FALSE
Alta Vista South Public Charter,alta-vista-south-public-charter,36,San Bernardino,67736,0131151,1691,309,0.94,8719,10381,13187,FALSE
Alta-Dutch Flat Union Elementary,alta-dutch-flat-union-elementary,31,Placer,66779,0000000,,97,0.42,8659,9496,10417,FALSE
Alternative Cooperative Education Charter,alternative-cooperative-education-charter,48,Solano,70573,0122523,1261,117,0.14,6470,7117,8529,FALSE
Alum Rock Union Elementary,alum-rock-union-elementary,43,Santa Clara,69369,0000000,,11091,0.89,8170,9365,11543,FALSE
Alview-Dairyland Union Elementary,alview-dairyland-union-elementary,20,Madera,65177,0000000,,358,0.71,7794,8782,10665,FALSE
Alvina Elementary,alvina-elementary,10,Fresno,61994,0000000,,178,0.82,8002,8909,10778,FALSE
Alvord Unified,alvord-unified,33,Riverside,66977,0000000,,18890,0.83,7767,9142,11509,FALSE
Amador County Unified,amador-county-unified,03,Amador,73981,0000000,,3831,0.46,7168,8106,9889,FALSE
Ambassador Phillip V. Sanchez Public Charter,ambassador-phillip-v-sanchez-public-charter,10,Fresno,62380,0124982,1335,618,0.91,8844,10441,13186,FALSE
America's Finest Charter,americas-finest-charter,37,San Diego,68338,0124206,1301,238,0.96,7264,8324,10291,FALSE
American Indian Public Charter,american-indian-public-charter,01,Alameda,61259,6113807,0106,190,0.83,7149,8293,10342,FALSE
American Indian Public Charter School II,american-indian-public-charter-school-ii,01,Alameda,61259,0114363,0882,620,0.78,7201,8360,10433,FALSE
American Indian Public High,american-indian-public-high,01,Alameda,61259,0111856,0765,209,0.75,8346,9729,12177,FALSE
American River Charter,american-river-charter,09,El Dorado,73783,0121566,1176,202,0.41,6806,7623,9264,FALSE
Anaheim Elementary,anaheim-elementary,30,Orange,66423,0000000,,18848,0.91,7710,9097,11472,FALSE
Anaheim Union High,anaheim-union-high,30,Orange,66431,0000000,,30882,0.75,8428,9494,11580,FALSE
Anahuacalmecac International University Preparatory High,anahuacalmecac-international-university-preparatory-high,19,Los Angeles,76885,0130799,1685,106,0.89,8607,10163,12834,FALSE
Anderson New Technology High,anderson-new-technology-high,45,Shasta,69856,4530333,0452,191,0.47,7855,8772,10637,FALSE
Anderson Union High,anderson-union-high,45,Shasta,69856,0000000,,1618,0.53,8661,9386,11080,FALSE
Anderson Valley Unified,anderson-valley-unified,23,Mendocino,65540,0000000,,524,0.84,9550,10474,12485,FALSE
Animo Avalon Charter Middle,animo-avalon-charter-middle,19,Los Angeles,64733,0129270,1624,113,1.00,8751,9214,10653,FALSE
Animo Charter Middle No. 1,animo-charter-middle-no-1,19,Los Angeles,64733,0123992,1286,122,0.97,8738,9185,10603,FALSE
Animo Charter Middle No. 2,animo-charter-middle-no-2,19,Los Angeles,64733,0124008,1287,307,0.99,8565,9207,10830,FALSE
Animo Charter Middle No. 3,animo-charter-middle-no-3,19,Los Angeles,64733,0124016,1288,607,0.95,7523,8681,10786,FALSE
Animo Charter Middle No. 4,animo-charter-middle-no-4,19,Los Angeles,64733,0124024,1289,589,0.94,7477,8650,10768,FALSE
Animo College Preparatory Academy,animo-college-preparatory-academy,19,Los Angeles,64733,0124883,1342,428,0.98,8890,10376,12997,FALSE
Animo Inglewood Charter High,animo-inglewood-charter-high,19,Los Angeles,64634,1996586,0432,601,0.91,8860,10423,13129,FALSE
Animo Jackie Robinson High,animo-jackie-robinson-high,19,Los Angeles,64733,0111583,0793,578,0.98,8910,10390,13007,FALSE
Animo Jefferson Charter Middle,animo-jefferson-charter-middle,19,Los Angeles,64733,0122481,1216,528,0.99,7592,8742,10846,FALSE
Animo Leadership High,animo-leadership-high,19,Los Angeles,64709,1996313,0281,597,0.93,9001,10602,13366,FALSE
Animo Pat Brown,animo-pat-brown,19,Los Angeles,64733,0106849,0649,574,0.98,8882,10375,13004,FALSE
Animo Ralph Bunche High,animo-ralph-bunche-high,19,Los Angeles,64733,0111575,0781,583,0.99,8989,10432,13014,FALSE
Animo South Los Angeles Charter,animo-south-los-angeles-charter,19,Los Angeles,64733,0102434,0602,593,0.92,8775,10272,12894,FALSE
Animo Venice Charter High,animo-venice-charter-high,19,Los Angeles,64733,0106831,0648,575,0.86,8755,10203,12768,FALSE
Animo Watts College Preparatory Academy,animo-watts-college-preparatory-academy,19,Los Angeles,64733,0111625,0783,500,0.97,8929,10385,12977,FALSE
Animo Westside Charter Middle,animo-westside-charter-middle,19,Los Angeles,64733,0122499,1217,391,0.76,7081,8176,10163,FALSE
Antelope Elementary,antelope-elementary,52,Tehama,71472,0000000,,686,0.57,7737,8391,9554,FALSE
Antelope Valley Learning Academy,antelope-valley-learning-academy,19,Los Angeles,64857,0112714,0841,1635,0.87,8396,10005,12716,FALSE
Antelope Valley Union High,antelope-valley-union-high,19,Los Angeles,64246,0000000,,20513,0.65,8273,9381,11503,FALSE
Antelope View Charter,antelope-view-charter,34,Sacramento,73973,3430816,0344,24,0.45,8020,8827,10582,FALSE
Antioch Charter Academy,antioch-charter-academy,07,Contra Costa,61648,6115703,0143,195,0.28,6807,7398,8781,FALSE
Antioch Charter Academy II,antioch-charter-academy-ii,07,Contra Costa,61648,0115063,0909,194,0.40,6879,7526,8980,FALSE
Antioch Unified,antioch-unified,07,Contra Costa,61648,0000000,,17299,0.70,7453,8627,10735,FALSE
APEX Academy,apex-academy,19,Los Angeles,64733,0117077,1459,389,0.97,8704,10032,12454,FALSE
Apple Academy Charter Public,apple-academy-charter-public,19,Los Angeles,64733,0126078,1406,342,0.79,7434,8602,10710,FALSE
Apple Valley Unified,apple-valley-unified,36,San Bernardino,75077,0000000,,12477,0.67,7394,8514,10552,FALSE
Aptitud Community Academy at Goss,aptitud-community-academy-at-goss,43,Santa Clara,69369,6046247,1521,403,0.97,8570,9457,11362,FALSE
Ararat Charter,ararat-charter,19,Los Angeles,64733,0121079,1156,365,0.87,7551,8802,11015,FALSE
Arcadia Unified,arcadia-unified,19,Los Angeles,64261,0000000,,9504,0.29,6877,7717,9383,FALSE
Arcata Elementary,arcata-elementary,12,Humboldt,62679,0000000,,510,0.61,7282,8119,9801,FALSE
"Architecture, Construction & Engineering Charter High (ACE)",architecture-construction-and-engineering-charter-high-ace,56,Ventura,72546,0120634,1126,155,0.48,7911,8803,10645,FALSE
Arcohe Union Elementary,arcohe-union-elementary,34,Sacramento,67280,0000000,,374,0.58,7396,8183,9805,FALSE
Arena Union Elementary,arena-union-elementary,23,Mendocino,65557,0000000,,240,0.75,8199,9027,10784,FALSE
ARISE High,arise-high,01,Alameda,61259,0115238,0837,248,0.96,8909,10244,12695,FALSE
Armona Union Elementary,armona-union-elementary,16,Kings,63875,0000000,,989,0.94,7789,9200,11609,FALSE
Aromas/San Juan Unified,aromas-san-juan-unified,35,San Benito,75259,0000000,,1095,0.66,8075,9026,10899,FALSE
Arroyo Paseo Charter High,arroyo-paseo-charter-high,37,San Diego,68338,0114520,0881,117,0.87,8500,9633,11811,FALSE
Arroyo Vista Charter,arroyo-vista-charter,37,San Diego,68023,6116859,0483,1014,0.30,6750,7375,8792,FALSE
Arts in Action Community Charter,arts-in-action-community-charter,19,Los Angeles,64733,0123158,1218,327,0.91,7665,8947,11210,FALSE
Arundel Elementary,arundel-elementary,41,San Mateo,69021,6044721,0348,498,0.16,6457,7226,8776,FALSE
Arvin Union,arvin-union,15,Kern,63313,0000000,,3037,0.97,7920,9307,11707,FALSE
ASA Charter,asa-charter,36,San Bernardino,67876,0107730,0677,203,0.85,8200,9389,11599,FALSE
ASCEND,ascend,01,Alameda,61259,6118608,1443,420,0.96,7639,8767,10849,FALSE
Aspire Alexander Twilight College Preparatory Academy,aspire-alexander-twilight-college-preparatory-academy,34,Sacramento,67447,0120469,1554,408,0.78,6985,7912,9698,FALSE
Aspire Alexander Twilight Secondary Academy,aspire-alexander-twilight-secondary-academy,34,Sacramento,67447,0121467,1555,347,0.78,7188,8041,9761,FALSE
Aspire Antonio Maria Lugo Academy,aspire-antonio-maria-lugo-academy,19,Los Angeles,10199,0109660,0694,184,0.96,7895,8999,11080,FALSE
Aspire APEX Academy,aspire-apex-academy,39,San Joaquin,68676,0121541,1552,298,0.76,7245,8426,10528,FALSE
Aspire Benjamin Holt College Preparatory Academy,aspire-benjamin-holt-college-preparatory-academy,39,San Joaquin,68585,0101956,0565,699,0.36,7090,7869,9497,FALSE
Aspire Berkley Maynard Academy,aspire-berkley-maynard-academy,01,Alameda,61259,0109819,0726,539,0.84,7555,8637,10658,FALSE
Aspire California College Preparatory Academy,aspire-california-college-preparatory-academy,01,Alameda,10017,0118489,1049,231,0.75,7827,9005,11165,FALSE
Aspire Capitol Heights Academy,aspire-capitol-heights-academy,34,Sacramento,67439,0102343,0598,289,0.88,7501,8551,10530,FALSE
Aspire Centennial College Preparatory Academy,aspire-centennial-college-preparatory-academy,19,Los Angeles,64733,0126797,1436,475,0.97,8564,9194,10803,FALSE
Aspire College Academy,aspire-college-academy,01,Alameda,61259,0128413,1577,264,0.97,8241,9177,11102,FALSE
Aspire East Palo Alto Charter,aspire-east-palo-alto-charter,41,San Mateo,68999,6114953,0125,731,0.94,7973,9474,12018,FALSE
Aspire ERES Academy,aspire-eres-academy,01,Alameda,61259,0120188,1115,214,0.98,7633,8760,10841,FALSE
Aspire Firestone Academy,aspire-firestone-academy,19,Los Angeles,64733,0122622,1214,400,0.94,7601,8894,11161,FALSE
Aspire Gateway Academy,aspire-gateway-academy,19,Los Angeles,64733,0122614,1213,387,0.93,7604,8902,11175,FALSE
Aspire Golden State College Preparatory Academy,aspire-golden-state-college-preparatory-academy,01,Alameda,61259,0118224,1023,531,0.89,8030,9259,11497,FALSE
Aspire Huntington Park Charter,aspire-huntington-park-charter,19,Los Angeles,64733,0117960,1035,229,0.97,7948,9124,11295,FALSE
Aspire Inskeep Academy Charter,aspire-inskeep-academy-charter,19,Los Angeles,64733,0124800,1332,344,0.99,7657,8900,11117,FALSE
Aspire Juanita Tate Academy Charter,aspire-juanita-tate-academy-charter,19,Los Angeles,64733,0124792,1331,318,0.97,7704,8960,11196,FALSE
Aspire Junior Collegiate Academy,aspire-junior-collegiate-academy,19,Los Angeles,64733,0114884,1551,287,0.95,7743,8947,11127,FALSE
Aspire Langston Hughes Academy,aspire-langston-hughes-academy,39,San Joaquin,68676,0118497,1048,662,0.81,7849,9125,11398,FALSE
Aspire Lionel Wilson College Preparatory Academy,aspire-lionel-wilson-college-preparatory-academy,01,Alameda,61259,0130666,0465,471,0.96,8167,9496,11864,FALSE
Aspire Monarch Academy,aspire-monarch-academy,01,Alameda,61259,6117568,0252,381,0.98,8601,9315,11024,FALSE
Aspire Ollin University Preparatory Academy,aspire-ollin-university-preparatory-academy,19,Los Angeles,10199,0112128,0693,545,0.95,7880,9416,11991,FALSE
Aspire Pacific Academy,aspire-pacific-academy,19,Los Angeles,64733,0122721,1230,440,0.97,8566,9799,12098,FALSE
Aspire Port City Academy,aspire-port-city-academy,39,San Joaquin,68676,0114876,1553,389,0.74,7381,8457,10453,FALSE
Aspire River Oaks Charter,aspire-river-oaks-charter,39,San Joaquin,68585,6118921,0364,375,0.60,7342,8063,9649,FALSE
Aspire Rosa Parks Academy,aspire-rosa-parks-academy,39,San Joaquin,68676,0108647,0554,364,0.94,7982,9186,11391,FALSE
Aspire Slauson Academy Charter,aspire-slauson-academy-charter,19,Los Angeles,64733,0124784,1330,315,0.97,7724,8940,11131,FALSE
Aspire Summit Charter Academy,aspire-summit-charter-academy,50,Stanislaus,71043,0112292,0812,389,0.62,7115,8010,9773,FALSE
Aspire Technology Charter AcademAspire Triumph Technology Academy,aspire-technology-charter-academaspire-triumph-technology-academy,01,Alameda,61259,0130732,1663,261,0.93,8243,9079,10892,FALSE
Aspire Titan Academy,aspire-titan-academy,19,Los Angeles,64733,0120477,1550,319,0.99,7719,8985,11234,FALSE
Aspire University Charter,aspire-university-charter,50,Stanislaus,71290,0118125,1026,257,0.33,6992,7576,8970,FALSE
Aspire Vanguard College Preparatory Academy,aspire-vanguard-college-preparatory-academy,50,Stanislaus,71175,0120212,1125,295,0.58,7080,7950,9680,FALSE
Aspire Vincent Shalvey Academy,aspire-vincent-shalvey-academy,39,San Joaquin,68585,6116594,0178,375,0.36,6942,7574,9017,FALSE
Assurance Learning Academy,assurance-learning-academy,19,Los Angeles,75309,0127100,1458,643,0.92,8835,10299,12891,FALSE
Atascadero Unified,atascadero-unified,40,San Luis Obispo,68700,0000000,,4577,0.40,7168,7975,9621,FALSE
Atwater Elementary,atwater-elementary,24,Merced,65631,0000000,,4686,0.87,7577,8887,11161,FALSE
Auburn Union Elementary,auburn-union-elementary,31,Placer,66787,0000000,,1225,0.60,7761,8451,10005,FALSE
Audeo Charter,audeo-charter,37,San Diego,68338,3731395,0406,759,0.69,8262,9374,11504,FALSE
Aveson Global Leadership Academy,aveson-global-leadership-academy,19,Los Angeles,64881,0113464,0847,396,0.41,7016,7862,9559,FALSE
Aveson School of Leaders,aveson-school-of-leaders,19,Los Angeles,64881,0113472,0848,392,0.15,6634,7272,8691,FALSE
Azusa Unified,azusa-unified,19,Los Angeles,64279,0000000,,9250,0.85,8266,9454,11661,FALSE
Bakersfield City Elementary,bakersfield-city-elementary,15,Kern,63321,0000000,,28577,0.89,7988,9281,11555,FALSE
Baldwin Park Unified,baldwin-park-unified,19,Los Angeles,64287,0000000,,14083,0.90,8473,9678,11927,FALSE
Ballico-Cressey Elementary,ballico-cressey-elementary,24,Merced,65649,0000000,,338,0.76,7533,8651,10690,FALSE
Ballington Academy for the Arts and Sciences,ballington-academy-for-the-arts-and-sciences,13,Imperial,63123,0118455,1030,230,0.78,7199,8469,10670,FALSE
Bangor Union Elementary,bangor-union-elementary,04,Butte,61382,0000000,,108,0.80,7860,8868,10815,FALSE
Banning Unified,banning-unified,33,Riverside,66985,0000000,,4314,0.87,7955,9358,11772,FALSE
Banta Elementary,banta-elementary,39,San Joaquin,68486,0000000,,326,0.73,7463,8562,10570,FALSE
Barack Obama Charter,barack-obama-charter,19,Los Angeles,76547,0118760,1062,325,0.92,7559,8975,11380,FALSE
Barona Indian Charter,barona-indian-charter,37,San Diego,68189,6120901,0469,99,0.42,6961,7597,9047,FALSE
Barstow Unified,barstow-unified,36,San Bernardino,67611,0000000,,5617,0.79,7795,9042,11260,FALSE
Bass Lake Joint Union Elementary,bass-lake-joint-union-elementary,20,Madera,65185,0000000,,813,0.61,7508,8313,9968,FALSE
Bassett Unified,bassett-unified,19,Los Angeles,64295,0000000,,3994,0.94,8878,9963,12117,FALSE
Bay Area School of Enterprise,bay-area-school-of-enterprise,01,Alameda,61119,0130625,0398,138,0.97,9310,10450,12721,FALSE
Bay Area Technology,bay-area-technology,01,Alameda,61259,0106906,0661,247,0.89,8182,9297,11422,FALSE
Bay View Academy,bay-view-academy,27,Monterey,10272,0124297,1306,328,0.39,6631,7416,9002,FALSE
Bayshore Elementary,bayshore-elementary,41,San Mateo,68858,0000000,,367,0.78,7406,8545,10608,FALSE
Bayshore Preparatory Charter,bayshore-preparatory-charter,37,San Diego,73791,0109785,0723,123,0.56,7746,8580,10339,FALSE
Beacon Classical Academy Elementary,beacon-classical-academy-elementary,37,San Diego,68163,0130815,1678,131,0.78,7636,8261,9769,FALSE
Bear Valley Unified,bear-valley-unified,36,San Bernardino,67637,0000000,,2445,0.69,7728,8856,10913,FALSE
Beardsley Elementary,beardsley-elementary,15,Kern,63339,0000000,,1677,0.85,7617,8877,11097,FALSE
Beaumont Unified,beaumont-unified,33,Riverside,66993,0000000,,8733,0.61,7149,8165,10063,FALSE
Beckford Charter for Enriched Studies,beckford-charter-for-enriched-studies,19,Los Angeles,64733,6015986,1344,599,0.25,6490,7263,8820,FALSE
Bella Mente Montessori Academy,bella-mente-montessori-academy,37,San Diego,68452,0128223,1515,516,0.23,7023,7507,8791,FALSE
Bella Vista Elementary,bella-vista-elementary,45,Shasta,69872,0000000,,342,0.66,7485,8438,10263,FALSE
