target,slug,county_code,county_name,district_code,school_code,charter_code,ada,high_needs,y201415,y201516,y202021,floor_targ_caveat
Magnolia Science Academy 2,magnolia-science-academy-2,19,Los Angeles,64733,0115212,0906,438,0.80,7615,8898,11156,FALSE
Magnolia Science Academy 3,magnolia-science-academy-3,19,Los Angeles,64733,0115030,0917,433,0.87,7842,9179,11522,FALSE
Magnolia Science Academy 4,magnolia-science-academy-4,19,Los Angeles,64733,0117622,0986,214,0.75,7959,9109,11250,FALSE
Magnolia Science Academy 5,magnolia-science-academy-5,19,Los Angeles,64733,0117630,0987,103,0.93,7562,8639,10656,FALSE
Magnolia Science Academy 6,magnolia-science-academy-6,19,Los Angeles,64733,0117648,0988,160,0.81,7199,8379,10475,FALSE
Magnolia Science Academy 7,magnolia-science-academy-7,19,Los Angeles,64733,0117655,0989,281,0.79,7284,8570,10797,FALSE
Magnolia Science Academy Bell,magnolia-science-academy-bell,19,Los Angeles,64733,0122747,1236,476,0.94,7590,8711,10782,FALSE
Magnolia Science Academy San Diego,magnolia-science-academy-san-diego,37,San Diego,68338,0109157,0698,356,0.24,6504,7109,8477,FALSE
Magnolia Science Academy Santa Clara,magnolia-science-academy-santa-clara,43,Santa Clara,10439,0120261,1116,465,0.23,6743,7399,8849,FALSE
Magnolia Union Elementary,magnolia-union-elementary,13,Imperial,63172,0000000,,128,0.22,7045,7615,8902,FALSE
Making Waves Academy,making-waves-academy,07,Contra Costa,10074,0114470,0868,729,0.86,7642,8908,11148,FALSE
Manhattan Beach Unified,manhattan-beach-unified,19,Los Angeles,75333,0000000,,6724,0.03,6824,7459,8892,FALSE
Manteca Unified,manteca-unified,39,San Joaquin,68593,0000000,,22186,0.67,7408,8497,10503,FALSE
Manteca Unified Vocational Academy,manteca-unified-vocational-academy,39,San Joaquin,68593,0126094,1408,70,0.57,8095,9022,10922,FALSE
Manzanita Elementary,manzanita-elementary,04,Butte,61499,0000000,,286,0.50,6959,7666,9190,FALSE
Manzanita Middle,manzanita-middle,07,Contra Costa,61796,6118368,0333,147,0.81,7118,8218,10214,FALSE
Manzanita Public Charter,manzanita-public-charter,42,Santa Barbara,69229,0116921,0973,404,0.64,7257,8073,9760,FALSE
Maple Creek Elementary,maple-creek-elementary,12,Humboldt,62935,0000000,,11,0.80,27297,28367,31014,FALSE
Maple Elementary,maple-elementary,15,Kern,63610,0000000,,283,0.62,6830,7876,9766,FALSE
Marcum-Illinois Union Elementary,marcum-illinois-union-elementary,51,Sutter,71407,0000000,,166,0.60,8158,8968,10622,FALSE
Mare Island Technology Academy,mare-island-technology-academy,48,Solano,70581,6116255,0181,417,0.66,6970,7870,9622,FALSE
Maria Montessori Charter Academy,maria-montessori-charter-academy,31,Placer,75085,0117879,1042,265,0.29,6887,7443,8795,FALSE
Maricopa Unified,maricopa-unified,15,Kern,63628,0000000,,326,0.82,9435,10561,12793,FALSE
Mariposa County Unified,mariposa-county-unified,22,Mariposa,65532,0000000,,1631,0.55,8744,9663,11523,FALSE
Mark Twain Union Elementary,mark-twain-union-elementary,05,Calaveras,61572,0000000,,782,0.58,7091,7931,9609,FALSE
Mark West Charter,mark-west-charter,49,Sonoma,70805,0105890,0616,122,0.37,6652,7320,8774,FALSE
Mark West Union Elementary,mark-west-union-elementary,49,Sonoma,70805,0000000,,407,0.54,8553,8698,9462,FALSE
Marquez Charter,marquez-charter,19,Los Angeles,64733,6018063,0228,497,0.10,6385,7095,8570,FALSE
Marshall Lane Elementary,marshall-lane-elementary,43,Santa Clara,69393,6046619,0984,564,0.21,6461,7210,8738,FALSE
Martinez Unified,martinez-unified,07,Contra Costa,61739,0000000,,4054,0.32,7268,7881,9302,FALSE
Mary Collins Charter School at Cherry Valley,mary-collins-charter-school-at-cherry-valley,49,Sonoma,70862,6051932,0480,413,0.16,6678,7232,8560,FALSE
Marysville Charter Academy for the Arts,marysville-charter-academy-for-the-arts,58,Yuba,72736,5830138,0306,354,0.49,7388,8250,10004,FALSE
Marysville Joint Unified,marysville-joint-unified,58,Yuba,72736,0000000,,8843,0.82,7987,9242,11489,FALSE
Math and Science College Preparatory,math-and-science-college-preparatory,19,Los Angeles,64733,0126136,1412,208,0.94,9306,10542,12922,FALSE
Mattole Unified,mattole-unified,12,Humboldt,75382,0000000,,59,0.42,16749,16897,18717,FALSE
Mattole Valley Charter (#159),mattole-valley-charter-159,12,Humboldt,75382,1230135,0159,619,0.73,7458,8704,10903,FALSE
Maxwell Unified,maxwell-unified,06,Colusa,61606,0000000,,329,0.65,9285,10073,11912,FALSE
McCabe Union Elementary,mccabe-union-elementary,13,Imperial,63180,0000000,,1340,0.38,6668,7434,8996,FALSE
McCloud Union Elementary,mccloud-union-elementary,47,Siskiyou,70409,0000000,,71,0.81,8336,9156,9858,FALSE
McFarland Unified,mcfarland-unified,15,Kern,73908,0000000,,3290,0.91,8685,9854,12065,FALSE
McGill School of Success,mcgill-school-of-success,37,San Diego,68338,6113211,0095,126,0.96,8303,8996,10650,FALSE
McKinleyville Union Elementary,mckinleyville-union-elementary,12,Humboldt,62950,0000000,,1125,0.52,6983,7778,9392,FALSE
McSwain Union Elementary,mcswain-union-elementary,24,Merced,65763,0000000,,842,0.41,7027,7800,9370,FALSE
Meadows Arts and Technology Elementary,meadows-arts-and-technology-elementary,56,Ventura,10561,6055974,1072,355,0.12,7078,7626,8592,FALSE
